结构/算法,访问,查找,插入,删除,空间,稳定性/备注
顺序表,O(1),O(n),O(n),O(n),O(n),随机访问快，插删需移动
单链表,O(n),O(n),给定前驱 O(1),给定前驱 O(1),O(n),插删灵活，访问慢
栈,栈顶 O(1),不支持通用查找,O(1),O(1),O(n),后进先出
队列,队头 O(1),不支持通用查找,O(1),O(1),O(n),先进先出
散列表,不按序访问,平均 O(1),平均 O(1),平均 O(1),O(n),受哈希函数和装填因子影响
二叉排序树,O(h),O(h),O(h),O(h),O(n),退化时 h=n
AVL树,O(logn),O(logn),O(logn),O(logn),O(n),通过旋转保持平衡
B+树,O(log_m n),O(log_m n),O(log_m n),O(log_m n),O(n),适合磁盘索引和范围查询
快速排序,-,-,-,-,平均 O(logn),不稳定，平均 O(nlogn)
归并排序,-,-,-,-,O(n),稳定，时间 O(nlogn)
堆排序,-,-,-,-,O(1),不稳定，时间 O(nlogn)
