entity_id,name,entity_type,description,difficulty,tags
MOD-01,绪论与复杂度分析,课程模块,数据结构课程模块：绪论与复杂度分析。包含7个核心知识点。,综合,模块|数据结构
MOD-02,线性表,课程模块,数据结构课程模块：线性表。包含7个核心知识点。,综合,模块|数据结构
MOD-03,栈与队列,课程模块,数据结构课程模块：栈与队列。包含10个核心知识点。,综合,模块|数据结构
MOD-04,串与模式匹配,课程模块,数据结构课程模块：串与模式匹配。包含6个核心知识点。,综合,模块|数据结构
MOD-05,数组、矩阵与广义表,课程模块,数据结构课程模块：数组、矩阵与广义表。包含5个核心知识点。,综合,模块|数据结构
MOD-06,树与二叉树,课程模块,数据结构课程模块：树与二叉树。包含14个核心知识点。,综合,模块|数据结构
MOD-07,森林与并查集,课程模块,数据结构课程模块：森林与并查集。包含5个核心知识点。,综合,模块|数据结构
MOD-08,图,课程模块,数据结构课程模块：图。包含18个核心知识点。,综合,模块|数据结构
MOD-09,查找,课程模块,数据结构课程模块：查找。包含12个核心知识点。,综合,模块|数据结构
MOD-10,排序,课程模块,数据结构课程模块：排序。包含12个核心知识点。,综合,模块|数据结构
MOD-11,高级结构与工程应用,课程模块,数据结构课程模块：高级结构与工程应用。包含9个核心知识点。,综合,模块|数据结构
DS-01-001,算法与数据结构关系,知识点,数据结构研究数据元素之间的逻辑关系、存储表示和基本操作；算法是在特定数据结构上解决问题的有限步骤。二者共同决定程序的可理解性、可维护性和运行效率。,基础,绪论与复杂度分析|数据结构
DS-01-002,抽象数据类型ADT,知识点,抽象数据类型用数据对象、数据关系和基本操作描述一种逻辑模型，强调“做什么”而不是“如何存储”。,基础,绪论与复杂度分析|数据结构
DS-01-003,时间复杂度,知识点,时间复杂度用于估计算法运行时间随输入规模增长的变化趋势，通常用基本操作执行次数的数量级表示。,基础,绪论与复杂度分析|数据结构
DS-01-004,空间复杂度,知识点,空间复杂度用于估计算法在运行过程中额外占用存储空间随输入规模增长的变化趋势。,基础,绪论与复杂度分析|数据结构
DS-01-005,渐进记号,知识点,渐进记号包括 O、Ω、Θ 等，用于忽略常数因子和低阶项，描述算法复杂度的增长上界、下界或紧确界。,基础,绪论与复杂度分析|数据结构
DS-01-006,最好最坏平均情况,知识点,最好最坏平均情况是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,绪论与复杂度分析|数据结构
DS-01-007,递归复杂度,知识点,递归复杂度是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,绪论与复杂度分析|数据结构
DS-02-001,顺序表,知识点,顺序表使用一段地址连续的存储单元依次存放线性表元素，支持随机访问，但插入和删除通常需要移动元素。,基础,线性表|数据结构
DS-02-002,单链表,知识点,单链表由若干结点组成，每个结点包含数据域和指针域，指针域指向后继结点，适合频繁插入删除但不支持按下标高效随机访问。,基础,线性表|数据结构
DS-02-003,双向链表,知识点,双向链表的结点同时保存前驱和后继指针，能够从两个方向遍历，删除给定结点更方便，但指针开销更大。,基础,线性表|数据结构
DS-02-004,循环链表,知识点,循环链表将尾结点指针指向头结点或首元结点，使链表首尾相接，适合循环处理场景。,基础,线性表|数据结构
DS-02-005,静态链表,知识点,静态链表是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,线性表|数据结构
DS-02-006,线性表基本操作,知识点,线性表基本操作是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,线性表|数据结构
DS-02-007,链表边界条件,知识点,链表边界条件是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,线性表|数据结构
DS-03-001,栈,知识点,栈是只允许在一端进行插入和删除的线性结构，具有后进先出特性。,基础,栈与队列|数据结构
DS-03-002,顺序栈,知识点,顺序栈是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-003,链栈,知识点,链栈是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-004,表达式求值,知识点,表达式求值是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-005,括号匹配,知识点,括号匹配是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-006,递归与栈,知识点,递归与栈是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-007,队列,知识点,队列是只允许在队尾插入、队头删除的线性结构，具有先进先出特性。,基础,栈与队列|数据结构
DS-03-008,循环队列,知识点,循环队列把顺序存储空间看作首尾相接的环，用取模运算复用已出队空间。,基础,栈与队列|数据结构
DS-03-009,链队列,知识点,链队列是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-03-010,双端队列,知识点,双端队列是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,栈与队列|数据结构
DS-04-001,串,知识点,串是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,串与模式匹配|数据结构
DS-04-002,朴素模式匹配,知识点,朴素模式匹配是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,串与模式匹配|数据结构
DS-04-003,KMP算法,知识点,KMP算法利用模式串自身的前后缀信息，在匹配失败时避免主串指针回退，从而将模式匹配时间复杂度降为 O(n+m)。,提高,串与模式匹配|数据结构
DS-04-004,next数组,知识点,next数组记录模式串当前位置失配后应回退到的位置，本质上反映模式串前缀和后缀的最长公共长度。,基础,串与模式匹配|数据结构
DS-04-005,nextval数组,知识点,nextval数组是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,串与模式匹配|数据结构
DS-04-006,字符串存储,知识点,字符串存储是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,串与模式匹配|数据结构
DS-05-001,数组存储,知识点,数组存储是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,数组、矩阵与广义表|数据结构
DS-05-002,特殊矩阵压缩,知识点,特殊矩阵压缩利用矩阵中元素分布规律，只存储必要元素以节省空间，如对称矩阵、三角矩阵、对角矩阵。,基础,数组、矩阵与广义表|数据结构
DS-05-003,稀疏矩阵三元组表,知识点,三元组表用行号、列号和值表示非零元素，适合非零元素远少于总元素数的稀疏矩阵。,基础,数组、矩阵与广义表|数据结构
DS-08-004,十字链表,知识点,十字链表是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-05-005,广义表,知识点,广义表是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,数组、矩阵与广义表|数据结构
DS-06-001,树,知识点,树是由结点和边构成的层次结构，除根结点外每个结点有且仅有一个前驱，适合表达层级关系。,基础,树与二叉树|数据结构
