triple_id,head,relation,tail,evidence,weight
T00001,DS-01-001,BELONGS_TO,MOD-01,算法与数据结构关系是绪论与复杂度分析模块的核心知识点。,1.0
T00002,DS-01-002,BELONGS_TO,MOD-01,抽象数据类型ADT是绪论与复杂度分析模块的核心知识点。,1.0
T00003,DS-01-003,BELONGS_TO,MOD-01,时间复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00004,DS-01-004,BELONGS_TO,MOD-01,空间复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00005,DS-01-005,BELONGS_TO,MOD-01,渐进记号是绪论与复杂度分析模块的核心知识点。,1.0
T00006,DS-01-006,BELONGS_TO,MOD-01,最好最坏平均情况是绪论与复杂度分析模块的核心知识点。,1.0
T00007,DS-01-007,BELONGS_TO,MOD-01,递归复杂度是绪论与复杂度分析模块的核心知识点。,1.0
T00008,DS-02-001,BELONGS_TO,MOD-02,顺序表是线性表模块的核心知识点。,1.0
T00009,DS-02-002,BELONGS_TO,MOD-02,单链表是线性表模块的核心知识点。,1.0
T00010,DS-02-003,BELONGS_TO,MOD-02,双向链表是线性表模块的核心知识点。,1.0
T00011,DS-02-004,BELONGS_TO,MOD-02,循环链表是线性表模块的核心知识点。,1.0
T00012,DS-02-005,BELONGS_TO,MOD-02,静态链表是线性表模块的核心知识点。,1.0
T00013,DS-02-006,BELONGS_TO,MOD-02,线性表基本操作是线性表模块的核心知识点。,1.0
T00014,DS-02-007,BELONGS_TO,MOD-02,链表边界条件是线性表模块的核心知识点。,1.0
T00015,DS-03-001,BELONGS_TO,MOD-03,栈是栈与队列模块的核心知识点。,1.0
T00016,DS-03-002,BELONGS_TO,MOD-03,顺序栈是栈与队列模块的核心知识点。,1.0
T00017,DS-03-003,BELONGS_TO,MOD-03,链栈是栈与队列模块的核心知识点。,1.0
T00018,DS-03-004,BELONGS_TO,MOD-03,表达式求值是栈与队列模块的核心知识点。,1.0
T00019,DS-03-005,BELONGS_TO,MOD-03,括号匹配是栈与队列模块的核心知识点。,1.0
T00020,DS-03-006,BELONGS_TO,MOD-03,递归与栈是栈与队列模块的核心知识点。,1.0
T00021,DS-03-007,BELONGS_TO,MOD-03,队列是栈与队列模块的核心知识点。,1.0
T00022,DS-03-008,BELONGS_TO,MOD-03,循环队列是栈与队列模块的核心知识点。,1.0
T00023,DS-03-009,BELONGS_TO,MOD-03,链队列是栈与队列模块的核心知识点。,1.0
T00024,DS-03-010,BELONGS_TO,MOD-03,双端队列是栈与队列模块的核心知识点。,1.0
T00025,DS-04-001,BELONGS_TO,MOD-04,串是串与模式匹配模块的核心知识点。,1.0
T00026,DS-04-002,BELONGS_TO,MOD-04,朴素模式匹配是串与模式匹配模块的核心知识点。,1.0
T00027,DS-04-003,BELONGS_TO,MOD-04,KMP算法是串与模式匹配模块的核心知识点。,1.0
T00028,DS-04-004,BELONGS_TO,MOD-04,next数组是串与模式匹配模块的核心知识点。,1.0
T00029,DS-04-005,BELONGS_TO,MOD-04,nextval数组是串与模式匹配模块的核心知识点。,1.0
T00030,DS-04-006,BELONGS_TO,MOD-04,字符串存储是串与模式匹配模块的核心知识点。,1.0
T00031,DS-05-001,BELONGS_TO,MOD-05,数组存储是数组、矩阵与广义表模块的核心知识点。,1.0
T00032,DS-05-002,BELONGS_TO,MOD-05,特殊矩阵压缩是数组、矩阵与广义表模块的核心知识点。,1.0
T00033,DS-05-003,BELONGS_TO,MOD-05,稀疏矩阵三元组表是数组、矩阵与广义表模块的核心知识点。,1.0
T00034,DS-08-004,BELONGS_TO,MOD-05,十字链表是数组、矩阵与广义表模块的核心知识点。,1.0
T00035,DS-05-005,BELONGS_TO,MOD-05,广义表是数组、矩阵与广义表模块的核心知识点。,1.0
T00036,DS-06-001,BELONGS_TO,MOD-06,树是树与二叉树模块的核心知识点。,1.0
T00037,DS-06-002,BELONGS_TO,MOD-06,二叉树是树与二叉树模块的核心知识点。,1.0
